?交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2020-04-07 17:37:27,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000567202004075934257976,`2c9483b07153f1210171540050a80005,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-07 17:42:24,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000567202004079924592633,`2c9483b07153f121017154046c9c0006,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`2,`0.02,`0.00,`0.00,`0.00000,`0.02,`0.00




本次对账，不处理的订单数：0 条
本次对账，无误的订单数：1 条
本次对账，纠正的订单数：0 条
本次对账，本地没有的订单数：1 条
