?交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2020-04-09 13:28:03,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000553202004091522082508,`2c9483d8715cf3af01715d68b96f0001,`oLH_z5Foeat6CeSwv0bA5PQnZAcE,`JSAPI,`SUCCESS,`OTHERS,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 19:48:16,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000556202004091889055035,`2c9483e8715eb54801715ec4dbac0001,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 15:48:57,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000556202004095069476426,`2c9483d8715cf3af01715de9b4860004,`oLH_z5DiPBHCceefoHiHYeh1rkks,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 13:29:02,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000557202004097727796054,`2c9483d8715cf3af01715d6998060003,`oLH_z5FxISBYn8ql9kkrfR-uvFuc,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 16:40:30,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000558202004097234522985,`2c908096715deefe01715e18bf070000,`oLH_z5Ev4tbEcpoIt6OdaLKwGHcA,`JSAPI,`SUCCESS,`OTHERS,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-入学条件,`{\"commodityId\":\"a98c36963a5149a5ac72b40a4c8071c1\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 18:20:50,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000560202004096885154619,`2c9483d8715cf3af01715e74bea50005,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 19:33:49,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000563202004099136178054,`2c9483e8715eb54801715eb795b10000,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 19:11:34,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000566202004098821206085,`2c9483e5715ea13a01715ea334d90000,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-09 18:26:24,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000569202004095059409264,`2c9483d8715cf3af01715e79e4fd0006,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`9,`0.09,`0.00,`0.00,`0.00000,`0.09,`0.00




本次对账，不处理的订单数：0 条
本次对账，无误的订单数：5 条
本次对账，纠正的订单数：0 条
本次对账，本地没有的订单数：4 条
