?交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2020-04-11 20:10:00,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000554202004116868494360,`2c94825d7167bec6017169256e160001,`oLH_z5DiPBHCceefoHiHYeh1rkks,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`1,`0.01,`0.00,`0.00,`0.00000,`0.01,`0.00




本次对账，不处理的订单数：0 条
本次对账，无误的订单数：1 条
本次对账，纠正的订单数：0 条
本次对账，本地没有的订单数：0 条
